"Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: October 29, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    27","      Textile mills and textile product mills",27.4,28.1,28.5,28.0,24.9,24.0,18.7,22.2,20.7,20.1,19.3,17.8,15.1,15.5,15.1,15.9,16.7,17.8,17.9,18.4,18.3,18.9
"    28","      Apparel and leather and allied products",25.2,23.4,22.4,22.2,19.5,18.1,15.5,14.6,13.8,12.9,11.8,11.6,9.9,10.4,10.1,10.0,10.2,9.9,9.7,9.6,9.3,9.2
"    29","      Paper products",55.4,55.9,59.4,62.2,53.5,54.1,51.0,52.7,51.7,58.0,55.7,51.4,59.3,56.3,53.7,53.0,56.3,56.7,59.5,58.2,55.4,57.0
"    30","      Printing and related support activities",37.4,39.7,42.2,43.7,42.7,42.1,42.2,42.8,44.5,46.8,47.7,45.2,39.7,39.4,38.7,38.3,38.9,39.0,40.1,40.9,39.8,40.4
"    31","      Petroleum and coal products",47.5,50.1,45.2,52.7,68.3,50.7,81.3,104.2,141.2,140.0,154.5,154.6,110.8,123.4,158.1,158.0,150.6,157.7,144.7,84.7,128.3,172.2
"    32","      Chemical products",173.4,181.0,188.7,187.9,193.8,207.9,210.7,226.8,223.1,253.8,267.7,265.4,288.3,302.6,304.6,303.4,320.3,329.3,331.9,356.0,362.1,378.1
"    33","      Plastics and rubber products",57.6,61.8,66.0,65.5,63.5,63.0,62.7,63.9,62.9,64.0,63.3,56.0,60.4,61.8,62.9,67.5,69.0,67.1,78.0,79.6,77.2,80.1
"    34","  Wholesale trade",527.5,563.7,584.0,622.6,613.8,613.1,641.4,697.1,754.9,811.5,857.8,884.3,834.2,888.9,934.9,997.4,1040.1,1088.2,1142.5,1133.8,1164.6,1212.2
"    35","  Retail trade",579.9,626.9,652.6,685.5,709.5,732.6,769.6,795.6,840.8,869.9,869.2,848.7,827.6,851.5,871.9,908.4,949.5,974.5,1024.7,1056.5,1084.3,1126.9
"    36","    Motor vehicle and parts dealers",118.5,123.7,135.3,138.6,132.7,147.0,149.8,152.7,158.1,160.5,162.8,144.4,125.3,141.2,148.8,161.0,172.2,181.2,193.6,202.6,205.8,212.2
"    37","    Food and beverage stores",90.9,98.2,99.7,101.4,109.1,111.2,115.1,117.3,122.5,125.9,124.1,128.1,130.6,131.1,130.0,131.8,135.9,138.8,145.9,148.6,151.8,156.4
"    38","    General merchandise stores",79.8,86.2,89.1,94.6,99.6,102.6,110.1,114.5,121.1,123.9,124.6,128.3,133.1,132.2,134.1,133.4,135.3,138.7,143.7,144.7,146.3,151.0
"    39","    Other retail",290.7,318.8,328.6,350.8,368.1,371.8,394.6,411.0,439.1,459.7,457.8,447.9,438.6,447.0,459.0,482.3,506.0,515.9,541.6,560.6,580.3,607.3
"    40","  Transportation and warehousing",257.3,280.0,290.0,307.8,308.1,305.7,321.4,352.1,375.8,410.4,413.9,426.8,404.6,433.0,451.4,472.0,491.1,521.8,564.4,580.8,612.4,658.1
"    41","    Air transportation",54.7,55.2,57.7,58.1,49.2,52.0,54.6,60.8,61.7,68.0,73.2,68.7,71.7,84.2,84.6,87.8,94.1,102.9,117.4,128.7,134.7,143.1
"    42","    Rail transportation",20.0,22.2,22.6,23.3,23.3,21.7,23.4,25.2,28.0,32.1,32.4,37.2,32.9,33.7,36.5,39.6,40.8,43.8,44.1,39.8,41.5,43.9
"    43","    Water transportation",6.6,6.5,6.6,8.0,8.3,7.0,8.2,8.6,8.8,12.7,14.2,16.4,15.6,14.6,14.1,13.1,16.4,16.2,15.8,13.4,14.0,15.0
"    44","    Truck transportation",77.1,85.6,92.3,98.0,97.2,97.1,101.4,109.1,116.9,125.5,123.7,120.4,109.5,113.4,121.7,128.0,130.8,140.7,148.8,148.5,157.5,168.6
"    45","    Transit and ground passenger transportation",15.1,16.2,17.7,18.5,19.0,19.5,21.4,23.0,23.6,25.9,26.3,28.1,29.4,31.4,34.1,36.3,37.9,40.5,41.9,42.5,44.9,47.1
"    46","    Pipeline transportation",7.0,9.8,10.4,9.4,16.1,10.0,10.3,10.7,9.9,10.7,13.0,16.3,14.6,20.2,21.5,25.2,26.9,30.2,36.6,39.1,41.0,46.0
"    47","    Other transportation and support activities",55.9,59.8,58.1,65.9,69.1,71.7,73.3,80.9,88.8,94.6,89.9,94.4,85.7,90.4,93.9,94.7,96.9,99.9,108.0,110.6,116.0,124.5
"    48","    Warehousing and storage",21.0,24.8,24.6,26.7,25.8,26.6,28.7,33.6,38.1,40.8,41.3,45.2,45.2,45.1,45.1,47.1,47.2,47.8,51.9,58.0,62.8,69.9
"    49","  Information",394.1,434.6,485.0,471.3,502.4,550.6,564.9,620.4,642.3,652.0,706.9,743.0,721.9,753.3,759.8,759.0,828.9,842.4,898.0,959.3,997.6,1067.7
"    50","    Publishing industries, except internet (includes software)",97.2,108.2,139.1,115.9,116.1,136.9,145.6,160.6,172.7,162.2,191.7,189.0,178.5,186.8,194.6,201.4,210.2,217.4,223.1,233.6,250.4,273.4
"    51","    Motion picture and sound recording industries",40.3,48.9,60.3,54.2,65.3,71.7,68.5,74.5,63.1,67.5,76.5,79.7,82.3,91.1,84.8,82.4,82.8,82.2,87.4,93.4,92.8,99.7
"    52","    Broadcasting and telecommunications",226.3,241.8,256.2,277.0,281.4,280.8,287.6,311.1,334.7,340.3,373.6,391.4,374.8,374.6,366.2,370.4,404.8,393.7,418.4,437.9,429.5,438.5
"    53","    Data processing, internet publishing, and other information services",30.3,35.6,29.4,24.3,39.5,61.2,63.1,74.2,71.9,81.9,65.2,82.8,86.3,100.8,114.2,104.8,131.2,149.1,169.1,194.4,225.0,256.2
"    54","  Finance, insurance, real estate, rental, and leasing",1612.4,1710.1,1837.1,1974.7,2128.1,2217.0,2295.9,2389.1,2606.2,2743.9,2848.3,2762.7,2867.7,2943.0,3045.3,3261.0,3322.8,3548.0,3753.5,3930.2,4088.5,4301.6
"    55","    Finance and insurance",577.2,637.9,675.1,743.1,803.1,816.4,846.3,872.4,973.7,1034.2,1030.5,873.2,966.6,1003.6,1026.0,1162.8,1144.9,1282.6,1371.6,1444.3,1486.3,1567.3
"    56","      Federal Reserve banks, credit intermediation, and related activities",233.1,267.0,303.8,320.3,343.2,385.6,401.4,374.3,408.1,418.9,404.2,409.4,398.9,417.8,455.0,511.4,498.6,547.8,570.9,589.1,604.1,622.6
"    57","      Securities, commodity contracts, and investments",121.3,121.1,120.0,133.0,182.6,162.6,144.1,154.9,193.8,221.6,198.2,92.2,185.9,196.4,173.7,233.0,249.5,227.9,231.0,267.3,302.3,312.6
"    58","      Insurance carriers and related activities",215.6,236.7,234.3,274.5,262.0,251.2,280.7,322.2,348.4,372.5,405.7,349.2,365.9,372.8,384.3,405.5,384.3,486.3,552.3,569.1,558.8,609.2
"    59","      Funds, trusts, and other financial vehicles",7.2,13.1,16.9,15.2,15.2,17.0,20.2,21.0,23.4,21.2,22.4,22.4,15.9,16.5,13.0,12.9,12.6,20.6,17.3,18.7,21.2,22.9
"    60","    Real estate and rental and leasing",1035.2,1072.2,1162.0,1231.7,1325.0,1400.5,1449.6,1516.7,1632.5,1709.7,1817.7,1889.5,1901.1,1939.4,2019.3,2098.2,2177.9,2265.4,2381.9,2485.9,2602.1,2734.3
"    61","      Real estate",929.2,959.2,1034.9,1095.8,1176.6,1254.1,1307.1,1377.9,1489.2,1541.7,1653.6,1711.1,1738.0,1779.4,1856.7,1925.4,1995.5,2075.0,2176.2,2266.2,2379.4,2503.1
"    62","        Housing",769.8,812.3,866.6,921.8,985.8,1031.9,1066.7,1133.0,1212.9,1292.2,1340.9,1411.7,1447.1,1452.2,1498.5,1531.1,1564.9,1638.9,1741.4,1827.0,1912.1,2002.9
"    63","        Other real estate",159.4,146.9,168.3,174.0,190.8,222.2,240.4,244.9,276.3,249.5,312.7,299.4,290.9,327.3,358.2,394.4,430.5,436.1,434.8,439.2,467.4,500.2
"    64","      Rental and leasing services and lessors of intangible assets",106.0,113.0,127.1,135.9,148.4,146.4,142.5,138.8,143.3,168.0,164.1,178.4,163.1,159.9,162.5,172.7,182.4,190.4,205.7,219.7,222.7,231.1
"    65","  Professional and business services",840.6,914.0,997.2,1105.1,1155.5,1189.9,1247.4,1341.0,1446.4,1546.6,1666.7,1777.1,1688.7,1766.8,1856.7,1964.7,2017.3,2118.4,2234.9,2302.5,2427.6,2579.4
"    66","    Professional, scientific, and technical services",499.7,543.1,595.9,651.8,686.8,714.7,741.3,792.4,852.4,917.1,984.9,1082.1,1031.3,1063.9,1124.6,1188.5,1208.5,1267.6,1346.7,1392.5,1452.1,1546.4
"    67","      Legal services",104.0,113.7,120.7,129.2,140.7,149.2,165.3,180.8,195.2,204.6,217.4,240.6,212.2,204.4,215.5,216.7,218.9,225.5,238.0,251.4,259.6,266.3
"    68","      Computer systems design and related services",75.5,89.0,103.0,114.1,118.2,110.2,115.8,122.9,134.9,149.0,167.1,181.3,188.9,202.8,224.5,252.3,254.9,265.9,284.7,304.5,324.9,350.9
"    69","      Miscellaneous professional, scientific, and technical services",320.2,340.4,372.3,408.6,427.9,455.3,460.3,488.6,522.3,563.5,600.4,660.2,630.2,656.7,684.6,719.6,734.8,776.2,824.1,836.6,867.6,929.2
"    70","    Management of companies and enterprises",125.5,139.1,148.5,171.1,173.6,175.0,185.6,203.1,214.1,230.5,251.2,256.4,245.0,265.4,278.0,302.2,319.7,332.9,348.2,351.2,373.7,394.9
"    71","    Administrative and waste management services",215.4,231.8,252.7,282.1,295.1,300.2,320.5,345.5,379.9,399.1,430.6,438.6,412.4,437.6,454.1,473.9,489.1,517.9,539.9,558.8,601.8,638.1
"    72","      Administrative and support services",193.5,209.1,227.7,256.0,266.6,269.8,288.3,313.6,346.3,367.4,395.2,401.6,374.0,389.8,411.7,431.2,445.9,471.8,492.0,510.9,548.8,581.8
"    73","      Waste management and remediation services",21.9,22.7,25.0,26.1,28.5,30.4,32.2,31.9,33.6,31.7,35.5,36.9,38.4,47.8,42.4,42.7,43.2,46.2,47.9,48.0,52.9,56.3
"    74","  Educational services, health care, and social assistance",590.6,615.8,653.9,695.4,749.9,807.0,862.8,927.3,970.5,1035.4,1087.9,1184.8,1267.5,1310.7,1354.7,1407.4,1447.2,1491.9,1571.9,1650.7,1708.9,1792.5
"    75","    Educational services",77.1,79.9,87.7,95.2,101.7,106.5,116.8,129.1,133.2,142.9,151.5,167.8,188.3,198.9,206.0,213.9,217.5,226.1,235.5,246.0,246.5,255.5
"    76","    Health care and social assistance",513.5,535.8,566.3,600.2,648.2,700.5,746.0,798.3,837.3,892.5,936.4,1017.0,1079.2,1111.8,1148.7,1193.5,1229.7,1265.8,1336.4,1404.7,1462.4,1536.9
"    77","      Ambulatory health care services",250.9,258.6,271.2,288.4,311.0,334.1,350.5,375.2,397.0,423.1,442.3,480.9,507.4,531.6,554.9,573.5,593.5,611.3,643.4,681.6,712.9,752.2
"    78","      Hospitals",165.2,173.1,182.3,190.1,206.9,225.9,244.9,265.2,275.0,294.8,310.8,339.9,367.6,369.8,382.0,398.1,405.7,416.1,443.4,460.6,477.5,497.9
"    79","      Nursing and residential care facilities",57.9,61.1,64.9,69.1,74.5,80.8,85.6,90.2,92.8,97.7,102.5,110.6,116.5,120.7,123.2,125.9,129.1,132.5,137.6,143.0,146.3,153.0
"    80","      Social assistance",39.5,43.0,47.9,52.6,55.8,59.7,65.1,67.7,72.4,76.9,80.8,85.7,87.8,89.7,88.6,96.0,101.4,105.9,112.0,119.5,125.7,133.8
"    81","  Arts, entertainment, recreation, accommodation, and food services",301.8,322.1,354.1,386.5,390.7,413.5,432.1,461.2,481.2,511.5,533.5,542.7,533.3,555.8,580.9,621.4,651.3,691.4,739.7,781.3,815.4,860.6
"    82","    Arts, entertainment, and recreation",80.1,82.8,90.4,99.0,96.7,103.8,111.0,117.9,122.2,130.5,137.4,143.2,144.6,152.2,158.3,171.2,177.4,189.1,193.1,206.8,214.4,227.4
"    83","      Performing arts, spectator sports, museums, and related activities",37.2,40.6,44.5,49.3,51.8,56.9,62.0,65.1,67.1,73.5,75.6,81.4,84.9,87.7,92.7,101.3,104.3,112.4,112.6,121.8,127.6,136.2
"    84","      Amusements, gambling, and recreation industries",43.0,42.2,45.9,49.7,44.9,46.8,49.1,52.8,55.1,57.0,61.8,61.7,59.8,64.5,65.6,69.9,73.1,76.7,80.5,85.0,86.8,91.2
"    85","    Accommodation and food services",221.6,239.2,263.7,287.5,294.0,309.7,321.1,343.3,359.0,381.1,396.1,399.5,388.6,403.5,422.6,450.1,473.9,502.2,546.6,574.5,601.0,633.2
"    86","      Accommodation",70.7,75.7,84.2,93.3,90.1,92.7,94.2,102.4,108.9,116.0,124.5,123.5,107.4,112.1,121.8,128.6,136.7,143.0,157.1,160.0,166.9,174.5
"    87","      Food services and drinking places",150.9,163.6,179.5,194.2,203.9,217.1,226.9,240.9,250.1,265.1,271.6,276.1,281.2,291.5,300.8,321.5,337.2,359.2,389.4,414.5,434.1,458.7
"    88","  Other services, except government",230.3,248.7,260.8,279.7,265.6,284.9,283.8,297.3,310.7,325.0,330.5,330.3,326.5,328.0,333.1,348.0,356.3,376.6,392.4,402.1,414.1,437.2
"    89","Government",1145.6,1191.3,1252.3,1323.0,1392.9,1474.4,1552.3,1631.3,1710.3,1792.0,1887.1,1981.6,2045.1,2108.0,2137.1,2159.5,2212.5,2271.4,2340.8,2388.9,2453.6,2544.6
"    90","  Federal",390.7,396.4,406.0,423.5,430.4,462.5,498.9,525.5,551.3,575.5,601.9,632.2,663.3,697.4,712.3,713.9,703.8,715.8,732.5,745.6,764.4,790.8
"    91","    General government",333.5,336.8,345.0,360.3,370.3,397.8,434.7,459.4,488.4,509.9,535.7,569.1,603.0,640.0,659.8,663.7,658.4,666.8,674.8,686.3,701.7,729.0
"    92","      National defense",211.8,210.4,212.0,217.6,223.0,239.7,264.3,281.0,301.2,315.1,331.1,352.6,372.7,393.5,407.1,407.6,400.1,400.0,398.7,400.1,405.1,420.7
"    93","      Nondefense",121.7,126.4,133.0,142.7,147.3,158.1,170.4,178.4,187.2,194.8,204.6,216.4,230.3,246.5,252.6,256.1,258.3,266.8,276.1,286.2,296.6,308.3
"    94","    Government enterprises",57.2,59.6,61.0,63.2,60.2,64.6,64.2,66.1,62.9,65.7,66.1,63.1,60.3,57.5,52.5,50.2,45.4,49.0,57.7,59.3,62.7,61.8
"    95","  State and local",754.8,794.9,846.4,899.5,962.5,1011.9,1053.5,1105.8,1159.0,1216.4,1285.2,1349.4,1381.7,1410.5,1424.8,1445.6,1508.7,1555.5,1608.3,1643.3,1689.2,1753.8
"    96","    General government",689.3,726.2,773.1,824.0,882.3,930.6,970.1,1019.3,1067.0,1122.1,1191.2,1252.1,1280.5,1306.1,1313.1,1325.5,1380.9,1421.1,1467.4,1499.1,1541.4,1600.5
"    97","    Government enterprises",65.5,68.7,73.2,75.5,80.2,81.3,83.3,86.5,92.0,94.4,94.0,97.3,101.2,104.4,111.7,120.1,127.8,134.4,140.9,144.2,147.8,153.3
"    98","Addenda:","","","","","","","","","","","","","","","","","","","","","",""
"    99","    Private goods-producing industries [1]",1926.1,1991.8,2083.7,2220.4,2184.1,2170.1,2302.4,2502.2,2699.3,2889.4,3018.1,2989.1,2673.6,2774.3,2929.3,3018.8,3181.6,3304.5,3262.7,3226.6,3437.4,3673.4
"    100","    Private services-producing industries [2]",5505.9,5879.7,6294.6,6708.9,7004.8,7291.9,7603.5,8080.3,8627.1,9133.2,9546.7,9742.1,9730.3,10109.8,10476.3,11018.7,11390.8,11951.4,12621.3,13099.5,13628.4,14362.1
"    101","    Information-communications-technology-producing industries [3]",505.0,544.1,579.3,632.9,610.3,620.9,653.1,706.2,755.8,795.2,852.5,904.2,888.8,937.4,974.4,985.4,1062.6,1095.6,1175.1,1249.4,1312.6,1408.8
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
"Note. Detail may not add to total due to rounding."
